Timestamp,Altersgruppe,7T_Hospitalisierung_Faelle,7T_Hospitalisierung_Inzidenz,Hospitalisierung_Faelle
1591747200,35-59,3,0.42,0.43
1591747200,60-79,8,1.43,1.14
1591747200,80+,2,1.12,0.29
1591833600,00+,15,0.71,2.14
1591833600,00-04,0,0.00,0.00
1591833600,05-14,0,0.00,0.00
1591833600,15-34,1,0.26,0.14
1591833600,35-59,1,0.14,0.14
1591833600,60-79,10,1.79,1.43
1591833600,80+,3,1.67,0.43
1591920000,00+,13,0.61,1.86
1591920000,00-04,0,0.00,0.00
1591920000,05-14,0,0.00,0.00
1591920000,15-34,0,0.00,0.00
1591920000,35-59,1,0.14,0.14
1591920000,60-79,8,1.43,1.14
1591920000,80+,4,2.23,0.57
1592006400,00+,10,0.47,1.43
1592006400,00-04,0,0.00,0.00
1592006400,05-14,0,0.00,0.00
